Date of Joining,Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate
2008-09-30,1,0,0,2.0,3.0,3.8,0.16
2008-11-30,0,0,1,1.0,2.0,5.0,0.36
2008-03-10,1,1,1,2.0,,5.8,0.49
2008-11-03,0,0,1,1.0,1.0,2.6,0.2
2008-07-24,1,0,0,3.0,7.0,6.9,0.52
2008-11-26,0,1,1,2.0,4.0,3.6,0.29
2008-01-02,1,0,0,3.0,6.0,7.9,0.62
2008-10-31,1,0,1,2.0,4.0,4.4,0.33
2008-12-27,1,0,0,3.0,6.0,,0.56
2008-03-09,1,1,0,3.0,6.0,,0.67
2008-03-16,0,1,1,2.0,3.0,5.3,0.5
2008-05-12,0,0,1,0.0,1.0,1.8,0.12
2008-01-20,0,0,1,2.0,5.0,,0.4
2008-02-23,1,1,0,1.0,3.0,,0.33
2008-05-14,0,1,1,1.0,3.0,5.8,0.51
2008-02-03,1,0,1,3.0,5.0,4.7,0.32
2008-03-17,0,0,1,1.0,2.0,5.9,0.39
2008-03-28,0,0,0,3.0,6.0,6.7,0.59
2008-05-29,1,1,1,2.0,4.0,4.0,0.22
2008-06-27,1,0,0,3.0,5.0,,0.68
2008-08-31,0,1,0,2.0,4.0,7.6,0.57
2008-01-15,0,0,1,1.0,3.0,6.3,0.47
2008-05-04,0,0,1,1.0,3.0,6.7,0.46
2008-11-17,1,1,1,3.0,,7.7,0.61
2008-09-14,1,0,0,3.0,8.0,,0.91
2008-10-09,1,0,1,3.0,,5.8,0.4
2008-10-11,0,0,0,2.0,4.0,6.6,0.44
2008-09-18,1,0,0,2.0,4.0,7.4,0.6
2008-09-16,1,0,0,2.0,5.0,6.7,0.46
2008-11-26,1,0,1,2.0,4.0,,0.45
2008-05-12,1,1,1,1.0,2.0,3.6,0.2
2008-12-16,1,0,1,1.0,2.0,3.9,0.2
2008-10-11,1,0,0,0.0,1.0,3.0,0.19
2008-03-10,0,0,0,1.0,3.0,4.7,0.31
2008-05-03,0,1,0,4.0,8.0,8.7,0.81
2008-08-04,0,0,1,3.0,5.0,4.4,0.39
2008-07-31,1,0,1,3.0,6.0,5.8,0.42
2008-06-17,1,1,1,0.0,2.0,3.9,0.19
2008-04-28,1,0,1,3.0,7.0,6.6,0.56
2008-10-30,1,0,0,4.0,7.0,7.3,0.53
2008-02-27,1,0,1,3.0,5.0,,0.5
2008-06-22,1,1,1,1.0,3.0,5.4,0.33
2008-02-18,0,0,0,2.0,5.0,5.0,0.45
2008-06-24,1,0,1,2.0,3.0,6.0,0.36
2008-12-08,1,0,1,3.0,6.0,7.5,0.59
2008-08-05,0,0,1,2.0,3.0,,
2008-04-11,0,0,0,4.0,10.0,10.0,0.94
2008-03-26,1,1,1,3.0,6.0,,
2008-08-09,1,1,0,3.0,,7.7,0.61
2008-08-28,1,1,1,1.0,3.0,6.0,0.37
2008-03-21,0,0,0,2.0,6.0,7.4,0.65
2008-07-22,1,0,1,2.0,5.0,6.4,0.49
2008-05-20,1,0,0,1.0,2.0,5.1,
2008-01-23,0,0,1,1.0,3.0,5.6,0.38
2008-10-09,0,1,0,2.0,5.0,7.4,0.62
2008-09-10,1,1,1,3.0,5.0,6.1,0.39
2008-05-26,1,1,1,2.0,4.0,3.1,0.15
2008-12-22,0,0,0,2.0,5.0,8.0,0.61
2008-04-08,1,1,0,1.0,2.0,4.0,0.26
2008-12-22,1,0,0,2.0,2.0,3.6,0.28
2008-02-25,0,1,1,2.0,5.0,8.7,0.71
2008-04-24,0,1,0,3.0,,8.0,0.68
2008-01-08,1,0,0,3.0,5.0,6.8,0.57
2008-11-20,1,0,1,2.0,3.0,4.9,0.39
2008-09-11,1,1,0,3.0,6.0,7.9,0.61
2008-06-11,0,1,0,3.0,6.0,7.6,0.62
2008-02-28,1,0,0,5.0,9.0,9.2,0.8
2008-05-03,0,0,1,4.0,6.0,6.5,0.63
2008-08-20,1,0,0,3.0,5.0,6.8,0.6
2008-10-18,1,1,0,4.0,8.0,8.7,0.79
2008-08-14,0,0,1,2.0,5.0,6.2,0.39
2008-01-08,1,0,0,3.0,5.0,5.8,0.36
2008-07-17,1,1,0,2.0,4.0,6.6,0.5
2008-09-11,0,1,0,4.0,7.0,8.2,0.72
2008-07-05,1,0,1,2.0,3.0,4.9,0.34
2008-02-04,1,0,0,1.0,2.0,4.1,0.27
2008-08-01,0,0,0,3.0,7.0,7.4,0.66
2008-05-01,1,1,1,0.0,1.0,,0.04
2008-05-21,0,0,1,1.0,2.0,4.4,0.27
2008-11-26,1,0,0,2.0,6.0,6.9,0.67
2008-10-21,1,1,1,1.0,2.0,5.3,0.38
2008-03-19,1,0,1,2.0,2.0,4.3,0.28
2008-09-27,0,1,1,0.0,1.0,0.8,0.05
2008-03-28,1,0,1,2.0,4.0,2.9,0.22
2008-03-12,1,0,1,1.0,3.0,5.0,0.39
2008-05-20,0,0,1,1.0,4.0,6.9,0.52
2008-09-17,1,0,0,3.0,5.0,4.7,0.39
2008-02-13,1,0,0,1.0,3.0,2.0,0.11
2008-09-19,1,0,0,2.0,4.0,5.4,0.44
2008-07-03,0,1,0,2.0,5.0,6.1,0.5
2008-10-27,1,1,1,1.0,4.0,5.1,0.41
2008-08-09,1,0,1,1.0,2.0,3.8,
2008-01-22,0,1,0,4.0,9.0,,0.76
2008-04-15,1,0,1,3.0,5.0,4.7,0.43
2008-10-26,0,0,1,3.0,5.0,5.4,0.46
2008-01-31,1,0,0,4.0,7.0,9.1,0.85
2008-01-03,0,0,1,1.0,3.0,5.0,0.35
2008-03-13,0,1,0,1.0,1.0,0.0,0.0
2008-03-27,0,1,1,2.0,4.0,4.3,0.34
2008-08-20,1,0,1,2.0,,6.7,0.44
2008-10-11,1,1,0,2.0,5.0,5.7,0.55
2008-11-15,0,0,1,4.0,6.0,6.8,0.62
2008-08-17,0,0,0,3.0,6.0,7.6,0.72
2008-11-30,0,1,1,3.0,8.0,8.3,0.71
2008-08-08,1,1,0,1.0,3.0,5.5,0.39
2008-06-28,1,0,0,1.0,3.0,5.3,0.48
2008-05-06,1,0,0,3.0,7.0,8.0,0.7
2008-12-17,0,0,1,4.0,6.0,6.4,0.56
2008-09-08,1,0,1,1.0,3.0,3.6,0.27
2008-07-04,1,1,1,2.0,5.0,7.0,0.66
2008-10-28,1,1,0,3.0,7.0,7.6,0.56
2008-05-06,0,0,0,2.0,5.0,8.7,0.79
2008-02-19,1,1,1,0.0,1.0,2.6,0.18
2008-04-08,1,0,1,2.0,4.0,4.7,0.33
2008-02-11,0,0,1,2.0,4.0,6.4,0.4
2008-03-02,1,0,0,2.0,5.0,5.8,0.39
2008-08-10,1,0,0,1.0,1.0,3.3,0.23
2008-01-04,1,1,1,2.0,4.0,5.9,0.45
2008-10-12,1,1,0,2.0,,7.8,0.67
2008-11-14,0,1,1,1.0,3.0,7.0,0.52
2008-09-02,1,0,0,4.0,7.0,7.2,0.6
2008-10-04,0,0,1,3.0,7.0,7.9,0.59
2008-05-31,1,1,0,3.0,5.0,,
2008-09-16,1,0,1,1.0,3.0,5.9,0.36
2008-03-03,0,0,0,1.0,3.0,4.4,0.29
2008-02-21,0,0,1,2.0,5.0,5.2,0.34
2008-03-26,1,1,1,2.0,4.0,5.3,0.34
2008-02-03,0,0,0,3.0,5.0,,
2008-12-04,1,0,0,4.0,6.0,,0.67
2008-09-05,1,1,1,4.0,,8.9,0.76
2008-09-17,1,1,1,3.0,4.0,5.2,0.46
2008-02-24,0,0,1,2.0,5.0,4.5,0.36
2008-12-09,1,1,0,2.0,3.0,6.6,0.45
2008-01-19,1,1,1,3.0,5.0,3.8,0.27
2008-01-26,0,1,0,3.0,7.0,7.6,0.65
2008-05-10,1,0,1,1.0,4.0,,
2008-05-16,1,1,1,3.0,6.0,5.6,0.34
2008-08-10,1,0,1,1.0,3.0,5.4,0.37
2008-06-28,0,1,1,1.0,2.0,4.9,0.25
2008-05-07,0,0,0,2.0,5.0,7.3,0.57
2008-05-03,0,0,0,2.0,5.0,5.6,0.52
2008-09-16,1,1,1,3.0,4.0,5.7,
2008-10-16,1,1,0,4.0,8.0,7.8,0.75
2008-07-09,1,1,1,4.0,7.0,6.7,0.55
2008-03-11,1,0,0,1.0,4.0,6.5,0.43
2008-08-15,1,0,1,0.0,1.0,1.8,0.1
2008-08-25,1,1,0,3.0,6.0,8.1,0.68
2008-12-14,0,1,0,2.0,5.0,6.9,
2008-04-26,0,0,1,3.0,7.0,6.4,0.56
2008-01-26,0,0,1,3.0,8.0,7.2,0.73
2008-09-05,1,0,0,2.0,5.0,8.6,0.7
2008-04-03,0,0,0,2.0,5.0,,0.58
2008-12-19,0,1,0,4.0,8.0,9.5,0.88
2008-08-13,0,1,1,2.0,6.0,6.8,0.63
2008-03-08,1,0,0,2.0,5.0,6.5,0.62
2008-09-14,1,0,1,2.0,3.0,3.5,0.25
2008-04-24,0,0,0,2.0,3.0,4.8,0.4
2008-02-05,0,1,0,3.0,8.0,7.6,0.77
2008-02-17,0,1,1,3.0,6.0,6.2,0.58
2008-09-11,1,1,1,3.0,6.0,3.6,0.3
2008-04-16,0,1,0,3.0,6.0,8.0,0.61
2008-10-24,1,0,1,3.0,5.0,6.0,0.4
2008-03-05,1,0,1,1.0,3.0,3.8,0.33
2008-04-03,1,1,1,1.0,2.0,2.4,0.06
2008-08-08,0,0,1,1.0,4.0,4.3,0.36
2008-09-18,1,0,1,1.0,2.0,3.7,0.28
2008-09-25,0,0,1,2.0,6.0,,
2008-03-01,0,1,1,2.0,5.0,5.6,0.37
2008-05-23,1,0,1,0.0,1.0,1.0,0.03
2008-09-07,1,1,1,2.0,5.0,7.2,0.67
2008-03-23,0,0,1,1.0,3.0,6.7,0.46
2008-01-25,1,0,1,1.0,2.0,,
2008-12-29,1,0,1,3.0,8.0,7.5,0.72
2008-06-15,1,0,0,3.0,6.0,,0.69
2008-03-27,1,0,0,4.0,7.0,7.5,0.65
2008-02-24,1,1,0,0.0,1.0,4.0,0.24
2008-11-30,1,0,1,1.0,3.0,5.3,0.41
2008-10-03,1,1,0,2.0,5.0,7.5,0.68
2008-01-17,1,0,1,1.0,2.0,,0.42
2008-01-30,0,1,0,4.0,7.0,7.7,0.72
2008-03-28,0,0,1,0.0,2.0,4.4,0.33
2008-10-21,1,0,1,2.0,3.0,,0.37
2008-02-03,0,0,1,4.0,6.0,,0.6
2008-10-13,0,0,1,3.0,5.0,6.5,0.48
2008-02-08,0,1,1,2.0,4.0,5.5,0.48
2008-11-25,0,0,0,2.0,5.0,5.0,0.36
2008-04-23,1,0,1,1.0,1.0,,0.24
2008-11-07,0,1,0,4.0,10.0,9.2,0.91
2008-06-20,0,1,1,2.0,5.0,5.0,
2008-12-23,1,1,1,1.0,2.0,4.1,0.24
2008-11-24,1,0,0,3.0,6.0,5.5,0.45
2008-06-21,0,0,0,5.0,9.0,8.8,0.85
2008-05-20,1,0,0,2.0,4.0,5.5,0.34
2008-11-29,0,1,1,1.0,3.0,5.9,0.36
2008-08-11,1,0,1,2.0,4.0,4.5,0.34
2008-04-29,0,1,0,3.0,6.0,8.0,0.59
2008-07-22,1,0,1,2.0,4.0,5.8,0.44
2008-11-19,0,0,0,1.0,3.0,4.4,0.38
2008-12-19,1,1,1,2.0,4.0,6.1,
2008-12-29,0,1,0,3.0,6.0,7.5,0.59
2008-06-20,1,0,0,2.0,7.0,8.0,0.7
2008-08-31,0,1,0,2.0,3.0,6.1,0.42
2008-05-26,0,1,1,1.0,2.0,5.1,0.46
2008-12-25,1,0,1,3.0,4.0,,0.48
2008-02-14,1,0,1,3.0,5.0,4.7,0.39
2008-03-04,1,0,1,3.0,5.0,5.2,0.42
2008-10-06,0,1,1,0.0,1.0,0.0,0.0
2008-10-21,1,0,1,2.0,5.0,5.1,0.46
2008-08-16,0,1,1,1.0,2.0,4.4,0.3
2008-10-29,1,1,0,4.0,6.0,6.9,0.63
2008-07-15,1,0,0,2.0,5.0,5.3,0.45
2008-04-21,0,0,0,2.0,3.0,,0.49
2008-09-01,1,0,1,3.0,6.0,6.0,0.58
2008-01-06,0,1,0,4.0,7.0,8.6,0.67
2008-03-20,0,0,0,2.0,5.0,7.3,0.71
2008-04-14,1,0,1,1.0,3.0,5.5,0.48
2008-05-21,0,0,1,1.0,3.0,2.9,0.22
2008-06-11,1,1,0,3.0,6.0,5.1,0.43
2008-10-03,0,0,1,4.0,8.0,,0.74
2008-02-16,0,0,0,2.0,5.0,6.4,0.57
2008-02-05,1,0,1,2.0,3.0,,0.22
2008-08-11,0,0,1,1.0,,4.8,
2008-11-19,1,0,0,3.0,,5.8,0.47
2008-10-29,1,0,1,3.0,4.0,6.1,0.47
2008-06-11,1,0,1,3.0,5.0,5.3,0.47
2008-10-13,1,1,1,1.0,4.0,5.5,0.34
2008-10-10,1,0,1,1.0,3.0,5.5,0.37
2008-09-26,1,0,0,3.0,7.0,7.8,0.8
2008-06-01,0,1,0,4.0,8.0,8.9,0.8
2008-07-11,1,1,0,2.0,,,0.36
2008-07-23,1,0,1,1.0,4.0,6.9,0.49
2008-07-10,1,0,1,1.0,3.0,,0.35
2008-08-09,0,0,1,0.0,1.0,0.0,0.0
